INPUT_TABLE
Variable ID
Indiaplantelec_logit

region,supplysector,subsector0,subsector1,subsector,logit.year.fillout,logit.exponent,logit.type
India,electricity,TaptiR,coal,coal (IGCC),1975,-10,relative.cost.logit
India,electricity,TaptiR,coal,coal (conv pul CCS),1975,-10,relative.cost.logit
India,electricity,TaptiR,coal,coal (IGCC CCS),1975,-10,relative.cost.logit
India,electricity,BengalW,coal,coal (conv pul),1975,-10,relative.cost.logit
India,electricity,BengalW,coal,coal (IGCC),1975,-10,relative.cost.logit
India,electricity,BengalW,coal,coal (conv pul CCS),1975,-10,relative.cost.logit
India,electricity,BengalW,coal,coal (IGCC CCS),1975,-10,relative.cost.logit
India,electricity,BrahmaniR,coal,coal (conv pul),1975,-10,relative.cost.logit
India,electricity,BrahmaniR,coal,coal (IGCC),1975,-10,relative.cost.logit
India,electricity,BrahmaniR,coal,coal (conv pul CCS),1975,-10,relative.cost.logit
India,electricity,BrahmaniR,coal,coal (IGCC CCS),1975,-10,relative.cost.logit
India,electricity,MahanadiR,coal,coal (conv pul),1975,-10,relative.cost.logit
India,electricity,MahanadiR,coal,coal (IGCC),1975,-10,relative.cost.logit
India,electricity,MahanadiR,coal,coal (conv pul CCS),1975,-10,relative.cost.logit
India,electricity,MahanadiR,coal,coal (IGCC CCS),1975,-10,relative.cost.logit
India,electricity,GodavariR,coal,coal (conv pul),1975,-10,relative.cost.logit
India,electricity,GodavariR,coal,coal (IGCC),1975,-10,relative.cost.logit
India,electricity,GodavariR,coal,coal (conv pul CCS),1975,-10,relative.cost.logit
India,electricity,GodavariR,coal,coal (IGCC CCS),1975,-10,relative.cost.logit
India,electricity,IndCstNE,coal,coal (conv pul),1975,-10,relative.cost.logit
India,electricity,IndCstNE,coal,coal (IGCC),1975,-10,relative.cost.logit
India,electricity,IndCstNE,coal,coal (conv pul CCS),1975,-10,relative.cost.logit
India,electricity,IndCstNE,coal,coal (IGCC CCS),1975,-10,relative.cost.logit
India,electricity,IndCstW,coal,coal (conv pul),1975,-10,relative.cost.logit
India,electricity,IndCstW,coal,coal (IGCC),1975,-10,relative.cost.logit
India,electricity,IndCstW,coal,coal (conv pul CCS),1975,-10,relative.cost.logit
India,electricity,IndCstW,coal,coal (IGCC CCS),1975,-10,relative.cost.logit
India,electricity,KrishnaR,coal,coal (conv pul),1975,-10,relative.cost.logit
India,electricity,KrishnaR,coal,coal (IGCC),1975,-10,relative.cost.logit
India,electricity,KrishnaR,coal,coal (conv pul CCS),1975,-10,relative.cost.logit
India,electricity,KrishnaR,coal,coal (IGCC CCS),1975,-10,relative.cost.logit
India,electricity,IndCstE,coal,coal (conv pul),1975,-10,relative.cost.logit
India,electricity,IndCstE,coal,coal (IGCC),1975,-10,relative.cost.logit
India,electricity,IndCstE,coal,coal (conv pul CCS),1975,-10,relative.cost.logit
India,electricity,IndCstE,coal,coal (IGCC CCS),1975,-10,relative.cost.logit
India,electricity,PennarR,coal,coal (conv pul),1975,-10,relative.cost.logit
India,electricity,PennarR,coal,coal (IGCC),1975,-10,relative.cost.logit
India,electricity,PennarR,coal,coal (conv pul CCS),1975,-10,relative.cost.logit
India,electricity,PennarR,coal,coal (IGCC CCS),1975,-10,relative.cost.logit
India,electricity,CauveryR,coal,coal (conv pul),1975,-10,relative.cost.logit
India,electricity,CauveryR,coal,coal (IGCC),1975,-10,relative.cost.logit
India,electricity,CauveryR,coal,coal (conv pul CCS),1975,-10,relative.cost.logit
India,electricity,CauveryR,coal,coal (IGCC CCS),1975,-10,relative.cost.logit
India,electricity,IndCstS,coal,coal (conv pul),1975,-10,relative.cost.logit
India,electricity,IndCstS,coal,coal (IGCC),1975,-10,relative.cost.logit
India,electricity,IndCstS,coal,coal (conv pul CCS),1975,-10,relative.cost.logit
India,electricity,IndCstS,coal,coal (IGCC CCS),1975,-10,relative.cost.logit
India,electricity,NarmadaR,coal,coal (conv pul),1975,-10,relative.cost.logit
India,electricity,NarmadaR,coal,coal (IGCC),1975,-10,relative.cost.logit
India,electricity,NarmadaR,coal,coal (conv pul CCS),1975,-10,relative.cost.logit
India,electricity,NarmadaR,coal,coal (IGCC CCS),1975,-10,relative.cost.logit
India,electricity,SabarmatiR,gas,gas (steam/CT),1975,-10,relative.cost.logit
India,electricity,SabarmatiR,gas,gas (CC),1975,-10,relative.cost.logit
India,electricity,SabarmatiR,gas,gas (CC CCS),1975,-10,relative.cost.logit
India,electricity,GangesR,gas,gas (steam/CT),1975,-10,relative.cost.logit
India,electricity,GangesR,gas,gas (CC),1975,-10,relative.cost.logit
India,electricity,GangesR,gas,gas (CC CCS),1975,-10,relative.cost.logit
India,electricity,MahiR,gas,gas (steam/CT),1975,-10,relative.cost.logit
India,electricity,MahiR,gas,gas (CC),1975,-10,relative.cost.logit
India,electricity,MahiR,gas,gas (CC CCS),1975,-10,relative.cost.logit
India,electricity,TaptiR,gas,gas (steam/CT),1975,-10,relative.cost.logit
India,electricity,TaptiR,gas,gas (CC),1975,-10,relative.cost.logit
India,electricity,TaptiR,gas,gas (CC CCS),1975,-10,relative.cost.logit
