,,,,,,,calOuputVCalue,efficiency,Value,Total,From the electricity
India,electricity,IndCstNE,coal,coal (conv pul),coal (conv pul) (once through),1990,0.003125724,0.340741,0.009173313,,
India,electricity,IndCstW,coal,coal (conv pul),coal (conv pul) (once through),1990,0.009990526,0.340741,0.02932,,
India,electricity,IrrawaddyR,coal,coal (conv pul),coal (conv pul) (once through),1990,0.000434809,0.340741,0.001276069,,
India,electricity,KrishnaR,coal,coal (conv pul),coal (conv pul) (once through),1990,0.020684508,0.340741,0.060704488,,
India,electricity,IndCstE,coal,coal (conv pul),coal (conv pul) (once through),1990,0.005761693,0.340741,0.016909304,,
India,electricity,PennarR,coal,coal (conv pul),coal (conv pul) (once through),1990,0.003974808,0.340741,0.011665189,,
India,electricity,CauveryR,coal,coal (conv pul),coal (conv pul) (once through),1990,0.008438593,0.340741,0.024765417,,
India,electricity,IndCstS,coal,coal (conv pul),coal (conv pul) (once through),1990,0.004526081,0.340741,0.013283054,,
India,electricity,NarmadaR,coal,coal (conv pul),coal (conv pul) (once through),1990,0.005037138,0.340741,0.014782894,,
India,electricity,IndusR,coal,coal (conv pul),coal (conv pul) (seawater),1990,0.005837764,0.340741,0.017132555,,
India,electricity,SabarmatiR,coal,coal (conv pul),coal (conv pul) (seawater),1990,0.009930878,0.340741,0.029144946,,
India,electricity,GangesR,coal,coal (conv pul),coal (conv pul) (seawater),1990,0.03169736,0.340741,0.09302479,,
India,electricity,MahiR,coal,coal (conv pul),coal (conv pul) (seawater),1990,0.000643596,0.340741,0.001888813,,
India,electricity,BengalBay,coal,coal (conv pul),coal (conv pul) (seawater),1990,0.000189947,0.340741,0.000557453,,
India,electricity,TaptiR,coal,coal (conv pul),coal (conv pul) (seawater),1990,0.001945141,0.340741,0.005708562,,
India,electricity,BengalW,coal,coal (conv pul),coal (conv pul) (seawater),1990,0.003063734,0.340741,0.008991386,,
India,electricity,BrahmaniR,coal,coal (conv pul),coal (conv pul) (seawater),1990,0.001760241,0.340741,0.005165921,,
India,electricity,MahanadiR,coal,coal (conv pul),coal (conv pul) (seawater),1990,0.005141249,0.340741,0.015088437,,
