INPUT_TABLE
Variable ID
IndiaSubsectorelec_logit

region,supplysector,subsector0,subsector1,logit.year.fillout,logit.exponent,logit.type
India,electricity,BengalW,biomass,1975,-10,relative.cost.logit
India,electricity,BrahmaniR,biomass,1975,-10,relative.cost.logit
India,electricity,MahanadiR,biomass,1975,-10,relative.cost.logit
India,electricity,GodavariR,biomass,1975,-10,relative.cost.logit
India,electricity,IndCstNE,biomass,1975,-10,relative.cost.logit
India,electricity,IndCstW,biomass,1975,-10,relative.cost.logit
India,electricity,IrrawaddyR,biomass,1975,-10,relative.cost.logit
India,electricity,KrishnaR,biomass,1975,-10,relative.cost.logit
India,electricity,IndCstE,biomass,1975,-10,relative.cost.logit
India,electricity,PennarR,biomass,1975,-10,relative.cost.logit
India,electricity,CauveryR,biomass,1975,-10,relative.cost.logit
India,electricity,IndCstS,biomass,1975,-10,relative.cost.logit
India,electricity,NarmadaR,biomass,1975,-10,relative.cost.logit
India,electricity,IndusR,nuclear,1975,-6,relative.cost.logit
India,electricity,SabarmatiR,nuclear,1975,-6,relative.cost.logit
India,electricity,GangesR,nuclear,1975,-6,relative.cost.logit
India,electricity,MahiR,nuclear,1975,-6,relative.cost.logit
India,electricity,BengalBay,nuclear,1975,-6,relative.cost.logit
India,electricity,TaptiR,nuclear,1975,-6,relative.cost.logit
India,electricity,BengalW,nuclear,1975,-6,relative.cost.logit
India,electricity,BrahmaniR,nuclear,1975,-6,relative.cost.logit
India,electricity,MahanadiR,nuclear,1975,-6,relative.cost.logit
India,electricity,GodavariR,nuclear,1975,-6,relative.cost.logit
India,electricity,IndCstNE,nuclear,1975,-6,relative.cost.logit
India,electricity,IndCstW,nuclear,1975,-6,relative.cost.logit
India,electricity,IrrawaddyR,nuclear,1975,-6,relative.cost.logit
India,electricity,KrishnaR,nuclear,1975,-6,relative.cost.logit
India,electricity,IndCstE,nuclear,1975,-6,relative.cost.logit
India,electricity,PennarR,nuclear,1975,-6,relative.cost.logit
India,electricity,CauveryR,nuclear,1975,-6,relative.cost.logit
India,electricity,IndCstS,nuclear,1975,-6,relative.cost.logit
India,electricity,NarmadaR,nuclear,1975,-6,relative.cost.logit
India,electricity,IndusR,hydro,1975,-6,relative.cost.logit
India,electricity,SabarmatiR,hydro,1975,-6,relative.cost.logit
India,electricity,GangesR,hydro,1975,-6,relative.cost.logit
India,electricity,MahiR,hydro,1975,-6,relative.cost.logit
India,electricity,BengalBay,hydro,1975,-6,relative.cost.logit
India,electricity,TaptiR,hydro,1975,-6,relative.cost.logit
India,electricity,BengalW,hydro,1975,-6,relative.cost.logit
India,electricity,BrahmaniR,hydro,1975,-6,relative.cost.logit
India,electricity,MahanadiR,hydro,1975,-6,relative.cost.logit
India,electricity,GodavariR,hydro,1975,-6,relative.cost.logit
India,electricity,IndCstNE,hydro,1975,-6,relative.cost.logit
India,electricity,IndCstW,hydro,1975,-6,relative.cost.logit
India,electricity,IrrawaddyR,hydro,1975,-6,relative.cost.logit
India,electricity,KrishnaR,hydro,1975,-6,relative.cost.logit
India,electricity,IndCstE,hydro,1975,-6,relative.cost.logit
India,electricity,PennarR,hydro,1975,-6,relative.cost.logit
India,electricity,CauveryR,hydro,1975,-6,relative.cost.logit
India,electricity,IndCstS,hydro,1975,-6,relative.cost.logit
India,electricity,NarmadaR,hydro,1975,-6,relative.cost.logit
India,electricity,IndusR,geothermal,1975,-6,relative.cost.logit
India,electricity,SabarmatiR,geothermal,1975,-6,relative.cost.logit
India,electricity,GangesR,geothermal,1975,-6,relative.cost.logit
India,electricity,MahiR,geothermal,1975,-6,relative.cost.logit
India,electricity,BengalBay,geothermal,1975,-6,relative.cost.logit
India,electricity,TaptiR,geothermal,1975,-6,relative.cost.logit
India,electricity,BengalW,geothermal,1975,-6,relative.cost.logit
India,electricity,BrahmaniR,geothermal,1975,-6,relative.cost.logit
India,electricity,MahanadiR,geothermal,1975,-6,relative.cost.logit
India,electricity,GodavariR,geothermal,1975,-6,relative.cost.logit
India,electricity,IndCstNE,geothermal,1975,-6,relative.cost.logit
India,electricity,IndCstW,geothermal,1975,-6,relative.cost.logit
India,electricity,IrrawaddyR,geothermal,1975,-6,relative.cost.logit
India,electricity,KrishnaR,geothermal,1975,-6,relative.cost.logit
India,electricity,IndCstE,geothermal,1975,-6,relative.cost.logit
India,electricity,PennarR,geothermal,1975,-6,relative.cost.logit
India,electricity,CauveryR,geothermal,1975,-6,relative.cost.logit
India,electricity,IndCstS,geothermal,1975,-6,relative.cost.logit
India,electricity,NarmadaR,geothermal,1975,-6,relative.cost.logit
India,elect_td_bld,IndusR,rooftop_pv,1975,-6,relative.cost.logit
India,elect_td_bld,SabarmatiR,rooftop_pv,1975,-6,relative.cost.logit
India,elect_td_bld,GangesR,rooftop_pv,1975,-6,relative.cost.logit
India,elect_td_bld,MahiR,rooftop_pv,1975,-6,relative.cost.logit
India,elect_td_bld,BengalBay,rooftop_pv,1975,-6,relative.cost.logit
India,elect_td_bld,TaptiR,rooftop_pv,1975,-6,relative.cost.logit
India,elect_td_bld,BengalW,rooftop_pv,1975,-6,relative.cost.logit
India,elect_td_bld,BrahmaniR,rooftop_pv,1975,-6,relative.cost.logit
India,elect_td_bld,MahanadiR,rooftop_pv,1975,-6,relative.cost.logit
India,elect_td_bld,GodavariR,rooftop_pv,1975,-6,relative.cost.logit
India,elect_td_bld,IndCstNE,rooftop_pv,1975,-6,relative.cost.logit
India,elect_td_bld,IndCstW,rooftop_pv,1975,-6,relative.cost.logit
India,elect_td_bld,IrrawaddyR,rooftop_pv,1975,-6,relative.cost.logit
India,elect_td_bld,KrishnaR,rooftop_pv,1975,-6,relative.cost.logit
India,elect_td_bld,IndCstE,rooftop_pv,1975,-6,relative.cost.logit
India,elect_td_bld,PennarR,rooftop_pv,1975,-6,relative.cost.logit
India,elect_td_bld,CauveryR,rooftop_pv,1975,-6,relative.cost.logit
India,elect_td_bld,IndCstS,rooftop_pv,1975,-6,relative.cost.logit
India,elect_td_bld,NarmadaR,rooftop_pv,1975,-6,relative.cost.logit
