INPUT_TABLE
Variable ID
Indiacoolingelec_logit

region,supplysector,subsector0,subsector1,subsector,stub.technology,logit.year.fillout,logit.exponent,logit.type
India,electricity,MahiR,solar,CSP,CSP (dry_hybrid),1975,-6,relative.cost.logit
India,electricity,MahiR,solar,CSP_storage,CSP_storage (recirculating),1975,-6,relative.cost.logit
India,electricity,MahiR,solar,CSP_storage,CSP_storage (dry_hybrid),1975,-6,relative.cost.logit
India,electricity,BengalBay,solar,solar,PV,1975,-6,relative.cost.logit
India,electricity,BengalBay,solar,solar,PV_storage,1975,-6,relative.cost.logit
India,electricity,BengalBay,solar,CSP,CSP (recirculating),1975,-6,relative.cost.logit
India,electricity,BengalBay,solar,CSP,CSP (dry_hybrid),1975,-6,relative.cost.logit
India,electricity,BengalBay,solar,CSP_storage,CSP_storage (recirculating),1975,-6,relative.cost.logit
India,electricity,BengalBay,solar,CSP_storage,CSP_storage (dry_hybrid),1975,-6,relative.cost.logit
India,electricity,TaptiR,solar,solar,PV,1975,-6,relative.cost.logit
India,electricity,TaptiR,solar,solar,PV_storage,1975,-6,relative.cost.logit
India,electricity,TaptiR,solar,CSP,CSP (recirculating),1975,-6,relative.cost.logit
India,electricity,TaptiR,solar,CSP,CSP (dry_hybrid),1975,-6,relative.cost.logit
India,electricity,TaptiR,solar,CSP_storage,CSP_storage (recirculating),1975,-6,relative.cost.logit
India,electricity,TaptiR,solar,CSP_storage,CSP_storage (dry_hybrid),1975,-6,relative.cost.logit
India,electricity,BengalW,solar,solar,PV,1975,-6,relative.cost.logit
India,electricity,BengalW,solar,solar,PV_storage,1975,-6,relative.cost.logit
India,electricity,BengalW,solar,CSP,CSP (recirculating),1975,-6,relative.cost.logit
India,electricity,BengalW,solar,CSP,CSP (dry_hybrid),1975,-6,relative.cost.logit
India,electricity,BengalW,solar,CSP_storage,CSP_storage (recirculating),1975,-6,relative.cost.logit
India,electricity,BengalW,solar,CSP_storage,CSP_storage (dry_hybrid),1975,-6,relative.cost.logit
India,electricity,BrahmaniR,solar,solar,PV,1975,-6,relative.cost.logit
India,electricity,BrahmaniR,solar,solar,PV_storage,1975,-6,relative.cost.logit
India,electricity,BrahmaniR,solar,CSP,CSP (recirculating),1975,-6,relative.cost.logit
India,electricity,BrahmaniR,solar,CSP,CSP (dry_hybrid),1975,-6,relative.cost.logit
India,electricity,BrahmaniR,solar,CSP_storage,CSP_storage (recirculating),1975,-6,relative.cost.logit
India,electricity,BrahmaniR,solar,CSP_storage,CSP_storage (dry_hybrid),1975,-6,relative.cost.logit
India,electricity,MahanadiR,solar,solar,PV,1975,-6,relative.cost.logit
India,electricity,MahanadiR,solar,solar,PV_storage,1975,-6,relative.cost.logit
India,electricity,MahanadiR,solar,CSP,CSP (recirculating),1975,-6,relative.cost.logit
