INPUT_TABLE
Variable ID
IndiaBasinselecgen

region,supplysector,subsector0,subsector1,subsector,stub.technology,year,calOutputValue,share.weight.year,subs.share.weight,tech.share.weight
India,electricity,MahiR,biomass,biomass (conv),biomass (conv) (dry cooling),2010,1.34E-05,2010,1,1
India,electricity,TaptiR,biomass,biomass (conv),biomass (conv) (dry cooling),2010,3.05E-05,2010,1,1
India,electricity,BengalW,biomass,biomass (conv),biomass (conv) (dry cooling),2010,4.51E-05,2010,1,1
India,electricity,BrahmaniR,biomass,biomass (conv),biomass (conv) (dry cooling),2010,2.80E-05,2010,1,1
India,electricity,MahanadiR,biomass,biomass (conv),biomass (conv) (dry cooling),2010,7.2167E-05,2010,1,1
India,electricity,GodavariR,biomass,biomass (conv),biomass (conv) (dry cooling),2010,0.00014214,2010,1,1
India,electricity,IndCstNE,biomass,biomass (conv),biomass (conv) (dry cooling),2010,2.25E-05,2010,1,1
India,electricity,IndCstW,biomass,biomass (conv),biomass (conv) (dry cooling),2010,6.10E-05,2010,1,1
India,electricity,KrishnaR,biomass,biomass (conv),biomass (conv) (dry cooling),2010,0.000120763,2010,1,1
India,electricity,IndCstE,biomass,biomass (conv),biomass (conv) (dry cooling),2010,3.73E-05,2010,1,1
India,electricity,PennarR,biomass,biomass (conv),biomass (conv) (dry cooling),2010,2.73E-05,2010,1,1
India,electricity,CauveryR,biomass,biomass (conv),biomass (conv) (dry cooling),2010,5.22E-05,2010,1,1
India,electricity,IndCstS,biomass,biomass (conv),biomass (conv) (dry cooling),2010,3.04E-05,2010,1,1
India,electricity,NarmadaR,biomass,biomass (conv),biomass (conv) (dry cooling),2010,3.32E-05,2010,1,1
India,electricity,SabarmatiR,biomass,biomass (conv),biomass (conv) (dry cooling),2015,0.000248071,2015,1,1
India,electricity,GangesR,biomass,biomass (conv),biomass (conv) (dry cooling),2015,0.000771329,2015,1,1
India,electricity,MahiR,biomass,biomass (conv),biomass (conv) (dry cooling),2015,2.48E-05,2015,1,1
India,electricity,TaptiR,biomass,biomass (conv),biomass (conv) (dry cooling),2015,5.61E-05,2015,1,1
India,electricity,BengalW,biomass,biomass (conv),biomass (conv) (dry cooling),2015,8.29875E-05,2015,1,1
India,electricity,BrahmaniR,biomass,biomass (conv),biomass (conv) (dry cooling),2015,5.17E-05,2015,1,1
India,electricity,MahanadiR,biomass,biomass (conv),biomass (conv) (dry cooling),2015,0.00013293,2015,1,1
India,electricity,GodavariR,biomass,biomass (conv),biomass (conv) (dry cooling),2015,0.000261819,2015,1,1
India,electricity,IndCstNE,biomass,biomass (conv),biomass (conv) (dry cooling),2015,4.15E-05,2015,1,1
