INPUT_TABLE
Variable ID
IndiaBasinselecgen

region,supplysector,subsector0,subsector1,subsector,stub.technology,year,calOutputValue,share.weight.year,subs.share.weight,tech.share.weight
India,electricity,SabarmatiR,biomass,biomass (conv),biomass (conv) (cooling pond),2015,0,2015,1,0
India,electricity,GangesR,biomass,biomass (conv),biomass (conv) (cooling pond),2015,0,2015,1,0
India,electricity,MahiR,biomass,biomass (conv),biomass (conv) (cooling pond),2015,0,2015,1,0
India,electricity,BengalBay,biomass,biomass (conv),biomass (conv) (cooling pond),2015,0,2015,1,0
India,electricity,TaptiR,biomass,biomass (conv),biomass (conv) (cooling pond),2015,0,2015,1,0
India,electricity,BengalW,biomass,biomass (conv),biomass (conv) (cooling pond),2015,0,2015,1,0
India,electricity,BrahmaniR,biomass,biomass (conv),biomass (conv) (cooling pond),2015,0,2015,1,0
India,electricity,MahanadiR,biomass,biomass (conv),biomass (conv) (cooling pond),2015,0,2015,1,0
India,electricity,GodavariR,biomass,biomass (conv),biomass (conv) (cooling pond),2015,0,2015,1,0
India,electricity,IndCstNE,biomass,biomass (conv),biomass (conv) (cooling pond),2015,0,2015,1,0
India,electricity,IndCstW,biomass,biomass (conv),biomass (conv) (cooling pond),2015,0,2015,1,0
India,electricity,IrrawaddyR,biomass,biomass (conv),biomass (conv) (cooling pond),2015,0,2015,1,0
India,electricity,KrishnaR,biomass,biomass (conv),biomass (conv) (cooling pond),2015,0,2015,1,0
India,electricity,IndCstE,biomass,biomass (conv),biomass (conv) (cooling pond),2015,0,2015,1,0
India,electricity,PennarR,biomass,biomass (conv),biomass (conv) (cooling pond),2015,0,2015,1,0
India,electricity,CauveryR,biomass,biomass (conv),biomass (conv) (cooling pond),2015,0,2015,1,0
India,electricity,IndCstS,biomass,biomass (conv),biomass (conv) (cooling pond),2015,0,2015,1,0
India,electricity,NarmadaR,biomass,biomass (conv),biomass (conv) (cooling pond),2015,0,2015,1,0
India,electricity,IndusR,biomass,biomass (conv),biomass (conv) (dry cooling),1975,0,1975,0,0
India,electricity,SabarmatiR,biomass,biomass (conv),biomass (conv) (dry cooling),1975,0,1975,0,0
India,electricity,GangesR,biomass,biomass (conv),biomass (conv) (dry cooling),1975,0,1975,0,0
India,electricity,MahiR,biomass,biomass (conv),biomass (conv) (dry cooling),1975,0,1975,0,0
India,electricity,BengalBay,biomass,biomass (conv),biomass (conv) (dry cooling),1975,0,1975,0,0
India,electricity,TaptiR,biomass,biomass (conv),biomass (conv) (dry cooling),1975,0,1975,0,0
India,electricity,BengalW,biomass,biomass (conv),biomass (conv) (dry cooling),1975,0,1975,0,0
India,electricity,BrahmaniR,biomass,biomass (conv),biomass (conv) (dry cooling),1975,0,1975,0,0
India,electricity,MahanadiR,biomass,biomass (conv),biomass (conv) (dry cooling),1975,0,1975,0,0
India,electricity,GodavariR,biomass,biomass (conv),biomass (conv) (dry cooling),1975,0,1975,0,0
India,electricity,IndCstNE,biomass,biomass (conv),biomass (conv) (dry cooling),1975,0,1975,0,0
India,electricity,IndCstW,biomass,biomass (conv),biomass (conv) (dry cooling),1975,0,1975,0,0
India,electricity,IrrawaddyR,biomass,biomass (conv),biomass (conv) (dry cooling),1975,0,1975,0,0
India,electricity,KrishnaR,biomass,biomass (conv),biomass (conv) (dry cooling),1975,0,1975,0,0
India,electricity,IndCstE,biomass,biomass (conv),biomass (conv) (dry cooling),1975,0,1975,0,0
India,electricity,PennarR,biomass,biomass (conv),biomass (conv) (dry cooling),1975,0,1975,0,0
India,electricity,CauveryR,biomass,biomass (conv),biomass (conv) (dry cooling),1975,0,1975,0,0
India,electricity,IndCstS,biomass,biomass (conv),biomass (conv) (dry cooling),1975,0,1975,0,0
India,electricity,NarmadaR,biomass,biomass (conv),biomass (conv) (dry cooling),1975,0,1975,0,0
India,electricity,IndusR,biomass,biomass (conv),biomass (conv) (dry cooling),1990,0,1990,0,0
India,electricity,SabarmatiR,biomass,biomass (conv),biomass (conv) (dry cooling),1990,0,1990,0,0
India,electricity,GangesR,biomass,biomass (conv),biomass (conv) (dry cooling),1990,0,1990,0,0
India,electricity,MahiR,biomass,biomass (conv),biomass (conv) (dry cooling),1990,0,1990,0,0
India,electricity,BengalBay,biomass,biomass (conv),biomass (conv) (dry cooling),1990,0,1990,0,0
India,electricity,TaptiR,biomass,biomass (conv),biomass (conv) (dry cooling),1990,0,1990,0,0
India,electricity,BengalW,biomass,biomass (conv),biomass (conv) (dry cooling),1990,0,1990,0,0
India,electricity,BrahmaniR,biomass,biomass (conv),biomass (conv) (dry cooling),1990,0,1990,0,0
India,electricity,MahanadiR,biomass,biomass (conv),biomass (conv) (dry cooling),1990,0,1990,0,0
India,electricity,GodavariR,biomass,biomass (conv),biomass (conv) (dry cooling),1990,0,1990,0,0
India,electricity,IndCstNE,biomass,biomass (conv),biomass (conv) (dry cooling),1990,0,1990,0,0
India,electricity,IndCstW,biomass,biomass (conv),biomass (conv) (dry cooling),1990,0,1990,0,0
India,electricity,IrrawaddyR,biomass,biomass (conv),biomass (conv) (dry cooling),1990,0,1990,0,0
India,electricity,KrishnaR,biomass,biomass (conv),biomass (conv) (dry cooling),1990,0,1990,0,0
India,electricity,IndCstE,biomass,biomass (conv),biomass (conv) (dry cooling),1990,0,1990,0,0
India,electricity,PennarR,biomass,biomass (conv),biomass (conv) (dry cooling),1990,0,1990,0,0
India,electricity,CauveryR,biomass,biomass (conv),biomass (conv) (dry cooling),1990,0,1990,0,0
India,electricity,IndCstS,biomass,biomass (conv),biomass (conv) (dry cooling),1990,0,1990,0,0
India,electricity,NarmadaR,biomass,biomass (conv),biomass (conv) (dry cooling),1990,0,1990,0,0
India,electricity,IndusR,biomass,biomass (conv),biomass (conv) (dry cooling),2005,3.74E-05,2005,1,1
India,electricity,SabarmatiR,biomass,biomass (conv),biomass (conv) (dry cooling),2005,6.36E-05,2005,1,1
India,electricity,GangesR,biomass,biomass (conv),biomass (conv) (dry cooling),2005,0.00020307,2005,1,1
India,electricity,MahiR,biomass,biomass (conv),biomass (conv) (dry cooling),2005,4.12E-06,2005,1,1
India,electricity,BengalBay,biomass,biomass (conv),biomass (conv) (dry cooling),2005,1.22E-06,2005,1,1
India,electricity,TaptiR,biomass,biomass (conv),biomass (conv) (dry cooling),2005,1.25E-05,2005,1,1
India,electricity,BengalW,biomass,biomass (conv),biomass (conv) (dry cooling),2005,1.96E-05,2005,1,1
India,electricity,BrahmaniR,biomass,biomass (conv),biomass (conv) (dry cooling),2005,1.13E-05,2005,1,1
India,electricity,MahanadiR,biomass,biomass (conv),biomass (conv) (dry cooling),2005,3.29E-05,2005,1,1
India,electricity,GodavariR,biomass,biomass (conv),biomass (conv) (dry cooling),2005,6.73E-05,2005,1,1
India,electricity,IndCstNE,biomass,biomass (conv),biomass (conv) (dry cooling),2005,8.58E-06,2005,1,1
India,electricity,IndCstW,biomass,biomass (conv),biomass (conv) (dry cooling),2005,2.74E-05,2005,1,1
India,electricity,IrrawaddyR,biomass,biomass (conv),biomass (conv) (dry cooling),2005,1.19E-06,2005,1,1
India,electricity,KrishnaR,biomass,biomass (conv),biomass (conv) (dry cooling),2005,5.68E-05,2005,1,1
India,electricity,IndCstE,biomass,biomass (conv),biomass (conv) (dry cooling),2005,1.58E-05,2005,1,1
India,electricity,PennarR,biomass,biomass (conv),biomass (conv) (dry cooling),2005,1.09E-05,2005,1,1
India,electricity,CauveryR,biomass,biomass (conv),biomass (conv) (dry cooling),2005,2.32E-05,2005,1,1
India,electricity,IndCstS,biomass,biomass (conv),biomass (conv) (dry cooling),2005,1.24E-05,2005,1,1
India,electricity,NarmadaR,biomass,biomass (conv),biomass (conv) (dry cooling),2005,1.38E-05,2005,1,1
India,electricity,IndusR,biomass,biomass (conv),biomass (conv) (dry cooling),2010,0.000108222,2010,1,1
India,electricity,SabarmatiR,biomass,biomass (conv),biomass (conv) (dry cooling),2010,0.000184102,2010,1,1
India,electricity,GangesR,biomass,biomass (conv),biomass (conv) (dry cooling),2010,0.000587616,2010,1,1
India,electricity,MahiR,biomass,biomass (conv),biomass (conv) (dry cooling),2010,1.19E-05,2010,1,1
India,electricity,BengalBay,biomass,biomass (conv),biomass (conv) (dry cooling),2010,3.52E-06,2010,1,1
India,electricity,TaptiR,biomass,biomass (conv),biomass (conv) (dry cooling),2010,3.61E-05,2010,1,1
India,electricity,BengalW,biomass,biomass (conv),biomass (conv) (dry cooling),2010,5.68E-05,2010,1,1
India,electricity,BrahmaniR,biomass,biomass (conv),biomass (conv) (dry cooling),2010,3.26E-05,2010,1,1
India,electricity,MahanadiR,biomass,biomass (conv),biomass (conv) (dry cooling),2010,9.53E-05,2010,1,1
